id,current_price,market_cap,price_change_percentage_24h,ath,atl,high_24h,low_24h,timestamp
binance-peg-weth,3211.99,1943952673,-5.54724,4955.78,1394.32,3400.63,3158.97,11-12-2025 21-42-47
pepe,4.55e-06,1911832144,-6.95175,2.803e-05,5.5142e-08,4.89e-06,4.39e-06,11-12-2025 21-42-47
jito-staked-sol,168.41,1888797641,-3.89925,339.52,0.57898,175.61,161.61,11-12-2025 21-42-47
internet-computer,3.39,1838181452,-5.60557,700.65,2.23,3.59,3.29,11-12-2025 21-42-47
blackrock-usd-institutional-digital-liquidity-fund,1.0,1830118880,0.0,1.0,1.0,1.0,1.0,11-12-2025 21-42-47
pi-network,0.20661,1726955713,-4.29009,2.99,0.172081,0.215871,0.204707,11-12-2025 21-42-47
wrapped-solana,135.08,1682376429,-3.95664,290.3,8.11,140.78,129.45,11-12-2025 21-42-47
jupiter-perpetuals-liquidity-provider-token,4.71,1673747413,-2.42853,5.99,0.146839,4.83,4.61,11-12-2025 21-42-47
pump-fun,0.0028097,1655572676,-7.98896,0.00881908,0.00228323,0.00305486,0.0027387,11-12-2025 21-42-47
hash-2,0.03007004,1568442816,2.26812,0.060147,0.00976953,0.03079398,0.02558897,11-12-2025 21-42-47
ether-fi-staked-eth,3207.64,1556080661,-5.72936,5307.23,975.47,3402.58,3158.99,11-12-2025 21-42-47
syrupusdc,1.14,1540754088,0.02814,1.14,1.055,1.14,1.14,11-12-2025 21-42-47
htx-dao,1.65e-06,1535569396,0.36971,3.75e-06,8.00816e-07,1.65e-06,1.64e-06,11-12-2025 21-42-47
ondo-finance,0.468877,1478388462,-7.80688,2.14,0.082171,0.508581,0.461551,11-12-2025 21-42-47
worldcoin-wld,0.598968,1464226757,-6.89262,11.74,0.557914,0.643309,0.581936,11-12-2025 21-42-47
pax-gold,4282.14,1460049535,1.11606,4448.72,1399.64,4292.0,4215.85,11-12-2025 21-42-47
global-dollar,0.999828,1384852101,0.00623,1.65,0.907561,1.0,0.999644,11-12-2025 21-42-47
kucoin-shares,10.68,1384767026,-2.16877,28.83,0.342863,10.91,10.4,11-12-2025 21-42-47
hashnote-usyc,1.11,1363688696,0.00878,1.12,1.026,1.11,1.11,11-12-2025 21-42-47
rocket-pool-eth,3692.64,1346634556,-5.42512,5618.08,887.26,3904.46,3628.25,11-12-2025 21-42-47
syrupusdt,1.11,1330352275,0.05065,1.11,1.093,1.11,1.11,11-12-2025 21-42-47
bfusd,0.999444,1319134545,0.00387,1.007,0.99712,0.999673,0.999122,11-12-2025 21-42-47
ripple-usd,0.99948,1316740822,-0.03608,1.073,0.962292,1.0,0.999042,11-12-2025 21-42-47
binance-bridged-usdc-bnb-smart-chain,0.999797,1288712235,0.0068,1.031,0.942892,1.0,0.999361,11-12-2025 21-42-47
polygon-ecosystem-token,0.120795,1274020710,-5.22637,1.29,0.117067,0.127456,0.11833,11-12-2025 21-42-47
kaspa,0.04737291,1266541917,-7.7491,0.207411,0.00017105,0.051352,0.04605744,11-12-2025 21-42-47
aptos,1.72,1266202489,-8.51731,19.92,1.68,1.88,1.69,11-12-2025 21-42-47
sky,0.05472,1254588283,-3.05351,0.100535,0.03582727,0.056557,0.053913,11-12-2025 21-42-47
gatechain-token,10.29,1206929701,-2.83855,25.94,0.25754,10.59,10.21,11-12-2025 21-42-47
quant-network,80.82,1175828149,-6.13597,427.42,0.215773,86.11,80.84,11-12-2025 21-42-47
binance-staked-sol,146.76,1174513938,-4.07706,297.96,100.21,153.1,140.6,11-12-2025 21-42-47
wbnb,878.97,1171826686,-3.05505,1372.03,23.6,908.35,861.21,11-12-2025 21-42-47
arbitrum,0.207815,1167598483,-8.37297,2.39,0.186907,0.226813,0.203062,11-12-2025 21-42-47
kelp-dao-restaked-eth,3401.91,1163897175,-5.48079,5190.42,1029.61,3599.17,3338.93,11-12-2025 21-42-47
algorand,0.128653,1135222044,-8.58,3.56,0.087513,0.140728,0.127033,11-12-2025 21-42-47
official-trump,5.66,1132424324,-3.24372,73.43,4.29,5.85,5.61,11-12-2025 21-42-47
liquid-staked-ethereum,3436.19,1066744028,-5.70906,5334.09,1384.61,3644.39,3398.57,11-12-2025 21-42-47
ignition-fbtc,91124.0,1061532967,-2.70187,127954.0,11469.83,93655.0,88991.0,11-12-2025 21-42-47
cosmos,2.18,1053260700,-7.09996,44.45,1.16,2.35,2.17,11-12-2025 21-42-47
vechain,0.01197425,1028296198,-6.6029,0.280991,0.00191713,0.01282079,0.01157674,11-12-2025 21-42-47
lombard-staked-btc,91583.0,1027947127,-2.25955,125812.0,52119.0,93700.0,89592.0,11-12-2025 21-42-47
flare-networks,0.01258298,1013112391,-2.79971,0.150073,0.00827405,0.01294542,0.01238171,11-12-2025 21-42-47
solv-btc,91110.0,1008430987,-2.51992,125693.0,49058.0,93535.0,89347.0,11-12-2025 21-42-47
filecoin,1.36,986505510,-11.28516,236.84,0.848008,1.54,1.36,11-12-2025 21-42-47
nexo,0.980975,980741537,-1.29675,4.07,0.04515276,0.995291,0.95286,11-12-2025 21-42-47
xdce-crowd-sale,0.04841312,897167702,-4.09701,0.192754,0.00039532,0.050481,0.0484296,11-12-2025 21-42-47
usdtb,1.001,852398854,0.02813,1.057,0.900502,1.006,0.994933,11-12-2025 21-42-47
sei-network,0.130367,829087785,-13.06447,1.14,0.095364,0.149958,0.129742,11-12-2025 21-42-47
render-token,1.6,828437795,-7.2366,13.53,0.03665669,1.72,1.56,11-12-2025 21-42-47
ousg,113.59,821299639,0.0099,113.59,95.09,113.59,113.58,11-12-2025 21-42-47
superstate-short-duration-us-government-securities-fund-ustb,10.92,812504467,0.01209,10.92,10.29,10.92,10.92,11-12-2025 21-42-47
kinetic-staked-hype,28.67,789134745,-4.42169,59.44,27.15,29.99,27.15,11-12-2025 21-42-47
wrappedm-by-m0,0.999901,770694274,0.00327,15.4,0.969044,1.001,0.998105,11-12-2025 21-42-47
bonk,9.31e-06,769395079,-7.67421,5.825e-05,8.6142e-08,1.008e-05,8.97e-06,11-12-2025 21-42-47
midnight-3,0.04618722,767049678,-37.25588,0.118529,0.02378032,0.085312,0.04207464,11-12-2025 21-42-47
janus-henderson-anemoy-aaa-clo-fund,1.017,763225287,-0.00541,1.017,1.009,1.017,1.017,11-12-2025 21-42-47
mantle-staked-ether,3477.53,755635643,-5.53033,5312.55,1485.62,3681.1,3412.51,11-12-2025 21-42-47
pancakeswap-token,2.23,750863764,-5.54004,43.96,0.194441,2.36,2.18,11-12-2025 21-42-47
renzo-restaked-eth,3425.78,744069945,-5.42537,5227.06,1454.43,3623.38,3368.27,11-12-2025 21-42-47
arbitrum-bridged-wbtc-arbitrum-one,91112.0,738129090,-2.66825,126226.0,49594.0,93610.0,89260.0,11-12-2025 21-42-47
wrapped-flare,0.01256084,709882499,-3.01543,0.053382,0.00823337,0.01295138,0.0123307,11-12-2025 21-42-47
clbtc,91089.0,703502758,-2.04405,129190.0,51493.0,93803.0,89266.0,11-12-2025 21-42-47
first-digital-usd,0.998603,698506249,-0.01974,1.15,0.940377,0.998906,0.997983,11-12-2025 21-42-47
pudgy-penguins,0.01107705,695931381,-12.60589,0.068447,0.00371517,0.01267483,0.01075968,11-12-2025 21-42-47
ondo-us-dollar-yield,1.099,691941818,-0.62685,1.26,0.934184,1.13,1.093,11-12-2025 21-42-47
usdd,1.0,683213499,0.00067,1.052,0.928067,1.0,0.999978,11-12-2025 21-42-47
bridged-usdc-polygon-pos-bridge,0.999803,681700668,0.00726,1.028,0.975633,0.999915,0.999623,11-12-2025 21-42-47
jupiter-exchange-solana,0.217059,680714455,-8.61718,2.0,0.209686,0.237527,0.209686,11-12-2025 21-42-47
story-2,2.02,669870814,-7.99513,14.78,1.0,2.19,1.98,11-12-2025 21-42-47
ultima,6670.85,667026323,2.80618,22851.0,2038.41,6723.24,6267.21,11-12-2025 21-42-47
jupiter-staked-sol,156.21,650002934,-3.85856,309.67,105.7,162.74,149.54,11-12-2025 21-42-47
morpho,1.2,649652550,-5.62122,4.17,0.713151,1.28,1.17,11-12-2025 21-42-47
beldex,0.086804,649500651,-0.34715,0.450785,0.00027519,0.087968,0.086377,11-12-2025 21-42-47
usdai,0.999497,648943274,-0.06116,1.19,0.769779,1.002,0.998012,11-12-2025 21-42-47
stakewise-v3-oseth,3317.24,634537675,-5.61318,5206.8,1459.73,3514.51,3265.58,11-12-2025 21-42-47
polygon-pos-bridged-dai-polygon-pos,0.999757,634106706,-0.01631,1.025,0.957024,1.0,0.99958,11-12-2025 21-42-47
fetch-ai,0.241047,626676149,-9.34735,3.45,0.00816959,0.265902,0.233688,11-12-2025 21-42-47
l2-standard-bridged-weth-base,3209.37,621797449,-5.50066,4952.69,1394.17,3401.4,3159.65,11-12-2025 21-42-47
dash,48.81,609969603,-0.2712,1493.59,0.213899,48.94,45.59,11-12-2025 21-42-47
optimism,0.311463,590082346,-7.99791,4.84,0.278146,0.338539,0.300939,11-12-2025 21-42-47
myx-finance,3.01,573222183,4.81747,19.03,0.04700553,3.09,2.72,11-12-2025 21-42-47
aerodrome-finance,0.625285,567856626,-7.16852,2.32,1.861e-05,0.67357,0.606993,11-12-2025 21-42-47
spx6900,0.60851,566356579,-12.05141,2.27,0.00131808,0.692174,0.581719,11-12-2025 21-42-47
curve-dao-token,0.388277,556443615,-8.43815,15.37,0.180354,0.424214,0.380635,11-12-2025 21-42-47
tbtc,91118.0,555064067,-2.28171,125646.0,10104.3,93246.0,89070.0,11-12-2025 21-42-47
injective-protocol,5.52,551345004,-7.89113,52.62,0.657401,5.99,5.32,11-12-2025 21-42-47
usual-usd,0.998023,548680470,-0.29033,1.33,0.962885,1.001,0.995554,11-12-2025 21-42-47
